condition,tick,source,cell_type,transmitter_sign,target,forecast,source_spike,source_sensory_input,source_observed_current,arrival_count,signed_recurrent_current,retained_eligibility,weight_update_proposal
initial,297,26550,L1,-1.0,0.0,-0.0007018398027867079,False,0.0,-9.638640403747559,0,-0.0007779606967233121,-0.017468532547354698,0.0
initial,298,20655,L2,1.0,0.0,-0.0007018398027867079,False,0.0,-9.149477005004883,0,0.00016897311434149742,0.017468532547354698,0.0
initial,298,26550,L1,-1.0,0.0,-0.0007018398027867079,False,0.0,-9.149477005004883,0,-0.0006316545186564326,-0.017468532547354698,0.0
initial,299,20655,L2,1.0,0.0,-0.0007018398027867079,False,0.0,-8.685138702392578,0,0.000137195413117297,0.017468532547354698,0.0
initial,299,26550,L1,-1.0,0.0,-0.0007018398027867079,False,0.0,-8.685138702392578,0,-0.000512863218318671,-0.017468532547354698,0.0
initial,300,20655,L2,1.0,0.0,-0.0007018398027867079,False,0.0,-8.244365692138672,0,0.00011139393609482795,0.017468532547354698,0.0
initial,300,26550,L1,-1.0,0.0,-0.0007018398027867079,False,0.0,-8.244365692138672,0,-0.00041641228017397225,-0.017468532547354698,0.0
initial,301,20655,L2,1.0,0.0,-0.0007018398027867079,False,0.0,-7.825962066650391,0,9.04447806533426e-05,0.017468532547354698,0.0
initial,301,26550,L1,-1.0,0.0,-0.0007018398027867079,False,0.0,-7.825962066650391,0,-0.0003381002461537719,-0.017468532547354698,0.0
initial,302,20655,L2,1.0,0.0,-0.0007018398027867079,False,0.0,-7.428792476654053,0,7.343540346482769e-05,0.017468532547354698,0.0
initial,302,26550,L1,-1.0,0.0,-0.0007018398027867079,False,0.0,-7.428792476654053,0,-0.0002745158562902361,-0.017468532547354698,0.0
initial,303,20655,L2,1.0,0.0,-0.0007018398027867079,False,0.0,-7.051779270172119,0,5.9624871937558055e-05,0.017468532547354698,0.0
initial,303,26550,L1,-1.0,0.0,-0.0007018398027867079,False,0.0,-7.051779270172119,0,-0.00022288940090220422,-0.017468532547354698,0.0
initial,304,20655,L2,1.0,1.0,-0.0007018398027867079,False,30.0,23.306100845336914,0,4.84115989820566e-05,0.017468532547354698,0.0001748079084791243
initial,304,26550,L1,-1.0,1.0,-0.0007018398027867079,False,30.0,23.306100845336914,0,-0.0001809719979064539,-0.017468532547354698,-0.0001748079084791243
initial,305,20655,L2,1.0,0.0,-0.00013256038073450327,False,0.0,22.123310089111328,0,3.930713501176797e-05,0.0032993785571306944,0.0
initial,305,26550,L1,-1.0,0.0,-0.00013256038073450327,False,0.0,22.123310089111328,0,-0.00014693773118779063,-0.0032993785571306944,0.0
initial,306,20655,L2,1.0,0.0,-0.00013256038073450327,False,0.0,21.000545501708984,0,3.1914889405015856e-05,0.0032993785571306944,0.0
initial,306,26550,L1,-1.0,0.0,-0.00013256038073450327,False,0.0,21.000545501708984,0,-0.00011930408072657883,-0.0032993785571306944,0.0
initial,307,20655,L2,1.0,0.0,-0.00013256038073450327,False,0.0,19.934762954711914,0,2.5912857381626964e-05,0.0032993785571306944,0.0
initial,307,26550,L1,-1.0,0.0,-0.00013256038073450327,False,0.0,19.934762954711914,0,-9.686731937108561e-05,-0.0032993785571306944,0.0
initial,308,20655,L2,1.0,0.0,-0.00013256038073450327,False,0.0,18.92306900024414,0,2.1039590137661435e-05,0.0032993785571306944,0.0
initial,308,26550,L1,-1.0,0.0,-0.00013256038073450327,False,0.0,18.92306900024414,0,-7.865009683882818e-05,-0.0032993785571306944,0.0
initial,309,20655,L2,1.0,0.0,-0.00013256038073450327,False,0.0,17.962718963623047,0,1.708280797174666e-05,0.0032993785571306944,0.0
